"","u","s","m","l","lum"
"M1_BF_BRIG_059_K176533_P1",0.0765447847855185,0.2596439299913,0.295034961226578,0.368776323996604,0.0270672924259234
"M1_BF_BRIG_059_K176533_P2",0.0595394614907716,0.158844424232179,0.336786446763449,0.4448296675136,0.0187779441286128
"M1_BF_BRIG_059_K176533_P3",0.0628639211022125,0.156515808932973,0.342532768128836,0.438087501835978,0.0232324863150228
"M1_BF_BRIG_059_K176533_P4",0.0718065465159562,0.198664602794793,0.307542479749289,0.421986370939962,0.00927753011935045
"M1_BF_BRIG_059_K176534_P1",0.0745472833372674,0.256744107054552,0.298036012970675,0.370672596637506,0.0191896523124514
"M1_BF_BRIG_059_K176534_P2",0.0632767042680701,0.151335195167926,0.339281526137161,0.446106574426842,0.0171046974898258
"M1_BF_BRIG_059_K176534_P3",0.0569385017526781,0.126834915453617,0.356060332978025,0.46016624981568,0.017488825888286
"M1_BF_BRIG_059_K176534_P4",0.0707319315147173,0.211343964262687,0.308390816910087,0.409533287312509,0.0108588210576636
"M1_BF_BRIG_059_K176535_P1",0.0770976533197761,0.25787066367566,0.297423354492185,0.367608328512379,0.0204872828302483
"M1_BF_BRIG_059_K176535_P2",0.0567297575044882,0.156273173775717,0.332822383868087,0.454174684851708,0.0199526952268156
"M1_BF_BRIG_059_K176535_P3",0.0603165729363718,0.158214983319094,0.339585350526166,0.441883093218368,0.0174175631201189
"M1_BF_BRIG_059_K176535_P4",0.0757203747668029,0.174098334197886,0.326625467030999,0.423555824004312,0.00681230575698447
"M1_BF_BRIG_059_K176536_P1",0.0765357437084177,0.252057963867603,0.300642204578391,0.370764087845589,0.0175026927683285
"M1_BF_BRIG_059_K176536_P2",0.0581476932989109,0.147559110380472,0.341649073165245,0.452644123155372,0.0208537862368714
"M1_BF_BRIG_059_K176536_P3",0.0619675541824418,0.139174757765944,0.349382696889334,0.44947499116228,0.0209081705037873
"M1_BF_BRIG_059_K176536_P4",0.073329053740251,0.177138078559536,0.316348619019195,0.433184248681018,0.0070796792245802
"M1_BF_BRIG_059_K176537_P1",0.0749963925320405,0.255754191535792,0.293674700595344,0.375574715336823,0.0238429032817384
"M1_BF_BRIG_059_K176537_P2",0.0501882521661065,0.125511083453239,0.341892390425098,0.482408273955557,0.0223731836605923
"M1_BF_BRIG_059_K176537_P3",0.0533563976682852,0.116421105768951,0.359088306175272,0.471134190387492,0.0151502954976638
"M1_BF_BRIG_059_K176537_P4",0.0697520466430988,0.157971400162605,0.337139307752367,0.43513724544193,0.00530995883225727
"M1_BF_BRIG_059_K176538_P1",0.0699210207071959,0.247231588019266,0.296014310092983,0.386833081180555,0.0153493002921116
"M1_BF_BRIG_059_K176538_P2",0.0574286099499089,0.1420055123501,0.343548907483604,0.457016970216387,0.017239273114026
"M1_BF_BRIG_059_K176538_P3",0.047653406263363,0.088345650735971,0.366841853585355,0.497159089415311,0.0113034743805779
"M1_BF_BRIG_059_K176538_P4",0.0737511412065648,0.220298627673392,0.30143353026639,0.404516700853653,0.0110613328486407
"M1_BF_BRIG_059_K176539_P1",0.0775313902361807,0.258953666161039,0.296891242642581,0.366623700960199,0.0246927899168305
"M1_BF_BRIG_059_K176539_P2",0.0638847029672701,0.181585705322368,0.330952705751988,0.423576885958373,0.023685253022029
"M1_BF_BRIG_059_K176539_P3",0.0596511096748763,0.147626877201436,0.346463352203771,0.446258660919917,0.0203753334209562
"M1_BF_BRIG_059_K176539_P4",0.0741054688652262,0.203339783114955,0.317213671475573,0.405341076544246,0.00896854939402034
"M1_BF_BRIG_067_K176627_P1",0.0789168214335104,0.256182744114083,0.299156572713842,0.365743861738564,0.0105709694595114
"M1_BF_BRIG_067_K176627_P2",0.0603552475925844,0.133178911977363,0.354322449288122,0.45214339114193,0.0150800798893935
"M1_BF_BRIG_067_K176627_P3",0.0521544320824959,0.0802579417423834,0.376564036069191,0.491023590105929,0.00909089801274287
"M1_BF_BRIG_067_K176627_P4",0.0780997568827506,0.205377116174699,0.312354520149908,0.404168606792643,0.00737714853994439
"M1_BF_BRIG_067_K176628_P1",0.0794372548738944,0.251898448650398,0.297549869187957,0.371114427287751,0.0159394891929904
"M1_BF_BRIG_067_K176628_P2",0.0612275026719025,0.155682642588155,0.342343611469912,0.44074624327003,0.0213309989599977
"M1_BF_BRIG_067_K176628_P3",0.0552373824112222,0.1386558287321,0.344088566823524,0.462018222033154,0.0191722644229807
"M1_BF_BRIG_067_K176628_P4",0.076139208806454,0.20570668828053,0.302341416466639,0.415812686446377,0.00825375878037213
"M1_BF_BRIG_067_K176629_P1",0.0785078622976055,0.265351323810818,0.296084155439004,0.360056658452572,0.0261049580690821
"M1_BF_BRIG_067_K176629_P2",0.0556967076040278,0.134157079581241,0.343583581944044,0.466562630870687,0.0134923698672764
"M1_BF_BRIG_067_K176629_P3",0.0585401532671914,0.121643775731384,0.357688919240439,0.462127151760985,0.0192704074074298
"M1_BF_BRIG_067_K176629_P4",0.0780251755134576,0.212656263390182,0.310905083316464,0.398413477779896,0.0119469668298347
